Code;Naam;X;Y;Provincie;Inwoners;Oppervlakte;Inw/km2
307;Amersfoort;154.631;464.878;UT;155180;64;2430
363;Amsterdam;123.064;489.663;NH;853935;219;3898
36301;Amsterdam-N;128.1;494.0;NH;0;0;0
36302;Amsterdam-Z;121.0;483.0;NH;0;0;0
36303;Badhoevedorp;112.594;484.824;NH;20070;50;775
384;Diemen;127.667;482.856;NH;28116;14;2004
546;Leiden;93.473;463.587;ZH;124300;23;5367
431;Oostzaan;120.612;495.712;NH;9726;16;603
437;Ouder-Amstel;123.033;477.921;NH;13483;26;515
344;Utrecht;133.155;455.618;UT;347421;99;3498
453;Velsen;104.334;494.614;NH;47811;43;1075
457;Weesp;132.783;480.137;NH;19145;22;875
